feature,year,n_samples,count,missing,zero_count,mean,std,min,p1,p5,p25,p50,p75,p95,p99,max
P2_WUE,2017,19898,19898,0,0,0.35878201778619906,0.2076272656015917,-0.1326081930046418,0.06542711414835387,0.10551330782833489,0.19815891596894716,0.3230300939120637,0.4849531366215064,0.7197129978994334,0.9074474581908112,4.3314284480429786
P2_Decoupling_Stress,2017,19898,19898,0,0,1.949096015519656,1.575262367202139,0.7173644229689928,0.8857187429132397,1.002073723800415,1.2597525971032513,1.6910976678294558,2.223429304959235,3.247178560538463,5.230900358534902,38.23076471481615
P2_Thermal_Efficiency,2017,19898,19898,0,0,0.003366340704657533,0.013339470313449942,-0.0010787164707293,0.000663420202236214,0.00098171083271752,0.001769396195168225,0.0026605936343759,0.003844303007835725,0.007854891366086456,0.01031594092798692,1.836473472878368
P2_Hydrothermal_Balance,2017,19898,19898,0,0,71.2649204409267,745.3098437403323,4.058440490934573,6.077281312451336,11.40122063234435,16.111885886778136,20.61956899876243,30.714778295742832,298.631299018858,811.2988258361815,89774.19721858775
P3_WUE,2017,19898,19898,0,0,0.6479392378711618,0.3627256725776696,-0.0300643744035108,0.10430390335726078,0.16887507695003695,0.350611241412903,0.6131641972870829,0.8638769666289887,1.3066522197456645,1.545280531322976,7.972875381239168
P3_Decoupling_Stress,2017,19898,19898,0,0,4.870256988453709,4.342739489255531,0.9438286267931036,1.625280996356348,1.804325749737848,2.8718857675246143,4.24914573160991,5.854398973805006,9.572820728479824,12.931457358629618,127.41576804544538
P3_Thermal_Efficiency,2017,19898,19898,0,0,0.0012209468659182547,0.00045736799782600685,-0.0002368710931222,0.00034288791968940503,0.000598189392720235,0.000986423503040875,0.00120985717593055,0.001431149722977625,0.0018558305405207494,0.002350286326885267,0.0297582760524157
P3_Hydrothermal_Balance,2017,19898,19898,0,0,5.29543518245345,11.811411371182091,0.4596440409720931,1.4804405109996857,2.089061649899726,2.8911145206662408,3.6374687030791817,6.0459595095906575,12.043864918494124,16.531887899925852,809.3228912353516
P4_WUE,2017,19898,19898,0,0,1.1113576999582864,0.6990167615085916,-0.0401931793909376,0.2369187174973007,0.33955104757033133,0.6605467985197817,1.0171019927360117,1.4584288941594643,2.0438016345289216,2.5935387604440883,22.07939983136984
P4_Decoupling_Stress,2017,19898,19898,0,0,9.61396492214791,11.494719163480438,0.8429490807115912,1.9195229338163102,2.3341498706050916,4.909765120680385,8.6396150086863,11.897584308460614,18.762007743144324,27.771269573144494,470.6383247995848
P4_Thermal_Efficiency,2017,19898,19898,0,0,0.0022094456205823594,0.0006657759541105803,-0.000399388796701,0.000762723518638669,0.00124480827894097,0.0018564670311171751,0.0022093970192862498,0.0025510710385115,0.0029194380820652694,0.0050966353935319245,0.0139053825235844
P4_Hydrothermal_Balance,2017,19898,19898,0,0,1.8689058800194742,1.752788831980311,0.0016283993645395,0.003813019381063932,0.029951845325123783,0.9084795160675843,1.4549681679015949,2.0606825765743557,6.818827787748675,8.090828921029248,13.81488808199254
P1_Drought_Vulnerability,2017,19898,19898,0,0,0.019353587034473305,0.01040826666858932,-7.249135865867487e-05,0.007007912491772289,0.008762042847854264,0.012102000925417975,0.017126488646419448,0.02374487635422865,0.03615163599273801,0.06201793587951758,0.1191638789898184
P1_Fertility_Vigor,2017,19898,19898,0,0,-2.41236470916164,185.9138926669794,-5588.25811868906,1.2441913149502406,1.8945198578492548,3.1502985128730856,4.593873429069063,7.464809310217303,15.821755913669675,24.57021907867102,56.76154112804579
P2_Drought_Vulnerability,2017,19898,19898,0,0,0.010130635897427536,0.0029656385948440976,-3.06284978807996e-05,0.005293835890677294,0.0060159991864755,0.007817737909321425,0.009868394228814949,0.012007980544089851,0.015398659510310083,0.018165307517182087,0.0240326806459217
P2_Fertility_Vigor,2017,19898,19898,0,0,-0.9111328886563561,169.66070627404378,-5671.476953566074,1.486929314821336,2.2360776410153758,3.6928901987736396,5.554677190100007,8.560079528985952,14.714073688734143,20.91478626307332,41.999435163575065
P3_Drought_Vulnerability,2017,19898,19898,0,0,0.02361566790633762,0.010444039063863824,-9.389946406334616e-05,0.009065369153743378,0.011145310156619475,0.01476903908774735,0.02196439473179755,0.030006731990018423,0.04302693980306293,0.054227099188472655,0.0815927589980605
P3_Fertility_Vigor,2017,19898,19898,0,0,-1.1897162901116105,208.1417573750211,-6352.521846950054,1.417763986115836,2.7425038825124277,4.7437221636904265,7.172260056170046,10.730772852383666,16.453648545951303,23.131635939991504,42.931839715285605
P4_Drought_Vulnerability,2017,19898,19898,0,0,0.0484344828950367,0.02483158651633144,-0.0002058753217233,0.012949898546405336,0.01629601439749476,0.02781465343058605,0.04650153824800575,0.0638586674999788,0.09331317903609938,0.11822540637379889,0.1783931044616383
P4_Fertility_Vigor,2017,19898,19898,0,0,-1.5062175930405444,253.13265830804986,-8123.332258880138,2.660200447128792,4.087291481588937,6.276132494094298,8.958186453273129,12.962268113645408,19.84779267830401,27.690633906387795,59.36322247605858
Cum_PPT_P1,2017,19898,19898,0,0,85.3454476769668,37.80065696952551,0.1936293542385101,2.945670249462127,25.96867427825927,54.91923713684082,86.80813217163086,114.1638526916504,143.6331634521484,167.12993087768535,217.467041015625
Cum_PPT_P2,2017,19898,19898,0,0,139.12149079147895,60.006775867823215,9.126129269599916,41.041580839157106,50.115338516235354,84.58642482757568,140.46955108642578,186.6497106552124,232.56279716491696,267.22045059204095,326.06520080566406
Cum_PPT_P3,2017,19898,19898,0,0,187.32536359701982,75.09171644507639,17.526220560073853,62.618852291107174,76.73244857788086,122.84028816223143,189.8124828338623,239.1654415130615,316.25888347625727,359.52041965484597,477.5882034301758
Cum_PPT_P4,2017,19898,19898,0,0,219.96567310816945,97.34126906537998,17.807499080896378,65.7193227505684,80.95052684135734,140.78817749023438,222.2074851989746,275.8974595069885,407.8996795654294,488.5783583068841,634.8972778320312
Cum_FDD_P1,2017,19898,19898,0,19464,0.019370194960744717,0.3027823502306784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684700515866236,24.042787551879883
Cum_FDD_P2,2017,19898,19898,0,661,42.549584046594624,108.00124441505717,0.0,0.0,0.24571449533104894,4.052316188812256,9.075852394104004,43.52269744873047,166.84565505981305,604.415272788402,1629.0607318878174
Cum_FDD_P3,2017,19898,19898,0,661,43.405322815407175,112.45239737696288,0.0,0.0,0.2511342689394951,4.059444904327393,9.126809120178223,43.726725578308105,169.0324590270393,635.8087442730338,1804.50113105774
