feature,count,missing,zero_count,mean,std,min,p1,p5,p25,p50,p75,p95,p99,max
Cum_PPT_P2,119385,0,0,90.2560064713159,50.33653438513824,4.176278382539749,8.96620374917984,21.714434242248537,51.72600173950195,81.6440200805664,117.77620315551758,190.86217193603497,231.8242291259766,333.01597595214844
Cum_PPT_P3,119385,0,0,143.37487706570786,62.66855767786968,6.457674324512482,42.164585704803464,61.85876960754395,92.72175788879396,136.5548973083496,177.88511848449707,261.2629005432128,329.77825012207035,477.5882034301758
Cum_PPT_P4,119385,0,0,176.1556411990577,77.09778110171415,15.603149592876434,62.70789969921112,75.87008795738221,122.20596694946288,165.4785861968994,210.2759017944336,322.96643218994114,434.4232156372071,634.8972778320312
Cum_FDD_P1,119385,0,117325,0.03212058741328186,1.3110704023352464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777694416046165,296.81103515625
Cum_FDD_P2,119385,0,1723,65.94997397046242,105.75357993215543,0.0,0.0,1.670998859405519,15.358610153198242,39.64906692504883,83.23149108886719,186.204824829101,570.7752539062521,1643.6476774215698
Cum_FDD_P3,119385,0,1378,66.47226815420507,108.17069666151501,0.0,0.0,1.7267285585403442,15.534756660461426,39.76897811889648,83.4656753540039,186.53493347167966,588.2415719223026,1804.50113105774
Cum_FDD_P4,119385,0,1378,66.4951976547831,108.35929123614257,0.0,0.0,1.7267285585403442,15.534756660461426,39.76897811889648,83.46759796142578,186.53493347167966,588.7389526546011,1810.6510372161863
Cum_VPD_P1,119385,0,0,0.5900801970379613,0.17991411286201037,0.0864922180771827,0.24372506082057946,0.31962083578109746,0.4620909690856933,0.5829168558120728,0.7072731256484985,0.8264541387557983,1.105855569839478,1.913207650184632
Cum_VPD_P2,119385,0,0,0.8594908533436013,0.20203548860007683,0.168089210987091,0.44169064044952383,0.5464143395423889,0.7216208577156067,0.8661338090896606,0.97600519657135,1.1453908026218411,1.4285853314399724,2.38449999690056
Cum_VPD_P3,119385,0,0,1.4533283056634732,0.36027767324231863,0.2472009584307669,0.7720274537801742,0.9110852301120757,1.2058089673519137,1.4378645569086077,1.6782438158988953,2.0137278378009795,2.47659029006958,4.1060790717601785
Cum_VPD_P4,119385,0,0,2.3850589852309705,0.6227993849793482,0.3794829621911046,1.2101145833730698,1.4237732589244843,1.9310824275016785,2.380264937877655,2.771033257246017,3.347212356328964,4.034626766443254,6.6891398429870605
Delta_NDVI_P2,119385,0,0,0.08108761694785736,0.21270549795664007,-0.8336212038993835,-0.4219924855232238,-0.2844554543495178,-0.0614124536514282,0.0858634710311889,0.2332788705825805,0.41989240944385536,0.5296856474876405,2.565551534295082
Delta_NDWI_P2,119385,0,0,0.10472662891077965,0.21820330575216548,-0.778189018368721,-0.4313817004114389,-0.2772455245256423,-0.0263527482748031,0.1085234256461263,0.2495627757161855,0.4419322838075457,0.5821859857439998,1.1680135279893875
Delta_SM_P2,119385,0,0,0.018311749466834483,0.04927794525661292,-0.1058134734630584,-0.07989331543445588,-0.06977884471416468,-0.0132090151309967,0.0160922110080719,0.0522874742746353,0.09925355911254873,0.1459875643253326,0.1847682595252991
Delta_NDVI_P3,119385,0,0,0.14788891744037605,0.14223088168919454,-2.107795834541321,-0.15135726213455197,-0.053098618984222315,0.0502827167510985,0.1331725269556045,0.2297911643981933,0.40404570102691634,0.5373433196544649,0.8676903694868087
Delta_NDWI_P3,119385,0,0,0.13621732250231128,0.14260900918343886,-1.0322476625442505,-0.2837030750513077,-0.06189882270991798,0.0489135347306728,0.1337236873805522,0.2223747745156288,0.37253463119268393,0.4632292492687702,1.1231069266796112
Delta_SM_P3,119385,0,0,-0.020300956694815284,0.03660195236068775,-0.1664787828922271,-0.0917841684818268,-0.07432228922843934,-0.0479800850152969,-0.0230981409549713,0.0099435448646544,0.03919184207916248,0.04996108949184417,0.0583480298519135
Delta_NDVI_P4,119385,0,0,0.10949135760524127,0.15165525910731703,-0.6238602101802827,-0.25482243299484253,-0.1331191301345825,0.014220654964447,0.1025360822677612,0.2052785754203796,0.36861116290092416,0.4809218490123749,0.7976000532507896
Delta_NDWI_P4,119385,0,0,0.14361044375641868,0.1461375359593011,-0.5801231861114501,-0.1774372136592865,-0.06617814153432844,0.0474773645401001,0.1258479207754135,0.2289976142346859,0.41067952557932574,0.5375733879953623,0.8229950368404388
Delta_SM_P4,119385,0,0,-0.018118238572321286,0.039736405807479516,-0.1446327567100525,-0.08770212292671199,-0.07480484247207637,-0.0498985350131989,-0.0180111825466156,0.0060263872146605,0.0581720083951949,0.09053673863410946,0.1711734719574452
