,P1_WUE,P1_Decoupling_Stress,P1_Thermal_Efficiency,P1_Hydrothermal_Balance,P2_WUE,P2_Decoupling_Stress,P2_Thermal_Efficiency,P2_Hydrothermal_Balance,P3_WUE,P3_Decoupling_Stress,P3_Thermal_Efficiency,P3_Hydrothermal_Balance,P4_WUE,P4_Decoupling_Stress,P4_Thermal_Efficiency,P4_Hydrothermal_Balance,P1_Drought_Vulnerability,P1_Fertility_Vigor,P2_Drought_Vulnerability,P2_Fertility_Vigor,P3_Drought_Vulnerability,P3_Fertility_Vigor,P4_Drought_Vulnerability,P4_Fertility_Vigor,Cum_PPT_P1,Cum_PPT_P2,Cum_PPT_P3,Cum_PPT_P4,Cum_FDD_P1,Cum_FDD_P2,Cum_FDD_P3,Cum_FDD_P4,Cum_VPD_P1,Cum_VPD_P2,Cum_VPD_P3,Cum_VPD_P4,Delta_NDVI_P2,Delta_NDWI_P2,Delta_SM_P2,Delta_NDVI_P3,Delta_NDWI_P3,Delta_SM_P3,Delta_NDVI_P4,Delta_NDWI_P4,Delta_SM_P4,Sand,Clay,SOC,P1_Tmean,P1_PPT,P1_SM,P1_GDD,P1_FDD,P1_VPD,P1_VPD_max,P1_NDVI,P1_NDVI_max,P1_NDWI,P1_NIRv,P1_EVI,P1_EVI_max,P2_Tmean,P2_PPT,P2_SM,P2_GDD,P2_FDD,P2_VPD,P2_VPD_max,P2_NDVI,P2_NDVI_max,P2_NDWI,P2_NIRv,P2_EVI,P2_EVI_max,P3_Tmean,P3_PPT,P3_SM,P3_GDD,P3_FDD,P3_VPD,P3_VPD_max,P3_NDVI,P3_NDVI_max,P3_NDWI,P3_NIRv,P3_EVI,P3_EVI_max,P4_Tmean,P4_PPT,P4_SM,P4_GDD,P4_FDD,P4_VPD,P4_VPD_max,P4_NDVI,P4_NDVI_max,P4_NDWI,P4_NIRv,P4_EVI,P4_EVI_max
P2_GDD,-0.1154,-0.1777,0.0828,-0.0853,0.0808,-0.3455,-0.7217,-0.624,0.1023,-0.4937,0.2668,0.261,-0.0873,-0.2872,-0.0123,0.1815,-0.241,0.2321,-0.3775,0.4275,-0.4932,0.4517,-0.3598,0.3242,-0.0144,0.3853,0.4628,0.4693,-0.0451,-0.6882,-0.6862,-0.6862,0.0094,-0.0149,-0.2723,-0.2764,0.2067,0.1876,0.2765,0.1269,0.1783,0.0069,-0.3576,-0.383,-0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_FDD,0.1916,0.2667,-0.0085,-0.236,-0.1355,0.5881,0.4194,0.6065,-0.0502,0.5229,-0.2728,-0.1966,0.0182,0.2285,0.0986,-0.1056,0.384,-0.2272,0.5254,-0.5249,0.5139,-0.425,0.3261,-0.353,-0.2789,-0.6079,-0.5951,-0.5576,0.1304,1.0,0.9997,0.9997,0.2137,0.2982,0.4331,0.3214,-0.3114,-0.2472,-0.2561,0.0457,-0.0239,0.2335,0.221,0.2683,0.2502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_VPD,0.0655,0.3097,-0.1792,-0.2592,0.2055,0.8201,0.1385,-0.1698,0.2509,0.5028,-0.2349,-0.1856,0.0707,0.2274,0.0697,-0.0668,0.4282,-0.2613,0.7449,-0.2709,0.4715,-0.2086,0.3124,-0.2834,-0.2571,-0.6545,-0.552,-0.4778,-0.0567,0.4793,0.4768,0.4768,0.3299,0.5404,0.555,0.4017,0.0223,-0.0159,-0.3266,0.1502,0.2572,0.3733,-0.0902,-0.0745,0.2929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_VPD_max,0.0529,0.2892,-0.1448,-0.2097,0.125,0.8578,0.0318,-0.0984,0.2355,0.4679,-0.2311,-0.2594,0.1619,0.3913,0.0415,-0.2024,0.3982,-0.225,0.617,-0.2736,0.4603,-0.1944,0.4484,-0.2827,-0.1972,-0.4707,-0.4369,-0.4162,-0.0002,0.3783,0.3764,0.3764,0.2917,0.4487,0.4909,0.4941,-0.0132,-0.0353,-0.3122,0.1548,0.2406,0.1827,-0.1232,-0.1587,0.0369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_NDVI,-0.0521,0.024,-0.0432,0.0323,0.8583,-0.1474,0.343,-0.3754,0.5866,-0.1149,0.5001,-0.0117,0.3133,-0.0164,0.3413,-0.0286,-0.0359,-0.0509,-0.1276,0.652,-0.1228,0.3896,-0.0662,0.1749,0.0583,0.1277,0.1326,0.1153,-0.0819,-0.4352,-0.4346,-0.4346,0.0534,0.0341,-0.0364,-0.0159,0.7942,0.6027,0.1608,-0.172,0.1435,-0.1131,-0.3875,-0.3984,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_NDVI_max,0.0055,0.123,-0.0117,-0.1086,0.854,-0.0318,0.426,-0.2907,0.6429,-0.0317,0.5337,-0.0524,0.375,0.0546,0.4434,-0.0858,0.0768,-0.1047,-0.0448,0.5503,-0.0357,0.3451,0.0047,0.1213,-0.085,-0.0031,0.0036,-0.0121,-0.0697,-0.2947,-0.2943,-0.2943,0.1712,0.1544,0.0753,0.0764,0.7484,0.6007,0.1898,-0.0798,0.1819,-0.0485,-0.3937,-0.4093,-0.0749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_NDWI,-0.1826,-0.0929,-0.1232,0.079,0.6453,-0.2091,0.1675,-0.2738,0.5035,-0.1766,0.4251,0.0757,0.2562,-0.057,0.2087,0.0144,-0.1411,-0.0466,-0.2217,0.4872,-0.2039,0.4091,-0.1111,0.2246,0.1085,0.2481,0.2793,0.2552,-0.0398,-0.4062,-0.4061,-0.4061,-0.0427,-0.0735,-0.1358,-0.0886,0.6496,0.7485,0.0898,-0.0136,-0.0689,-0.1146,-0.3627,-0.3947,-0.1114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_NIRv,-0.012,0.1042,-0.0759,-0.0561,0.931,-0.0605,0.378,-0.3539,0.6509,-0.0343,0.4849,-0.0458,0.3643,0.0492,0.3701,-0.0684,0.0586,-0.1208,-0.0508,0.5762,-0.0469,0.3374,-0.0019,0.11,-0.0308,0.0328,0.0455,0.0272,-0.082,-0.3705,-0.3704,-0.3704,0.1426,0.129,0.0573,0.0622,0.8018,0.6344,0.178,-0.1198,0.1649,-0.0642,-0.3997,-0.416,-0.0513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_EVI,-0.1393,-0.0268,-0.1526,0.0622,0.3886,-0.3057,-0.2079,-0.675,0.2941,-0.2872,0.2332,0.0108,0.1351,-0.1198,0.1065,0.0289,-0.1356,-0.0414,-0.2828,0.3954,-0.2941,0.271,-0.2106,0.1304,0.109,0.2853,0.2925,0.2768,-0.1275,-0.737,-0.7366,-0.7366,0.0601,0.0334,-0.1128,-0.113,0.4837,0.4121,0.3089,-0.0156,0.1541,-0.1939,-0.272,-0.32,-0.1154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_EVI_max,-0.1511,-0.0292,-0.1567,-0.0219,0.3604,-0.3215,-0.2744,-0.682,0.3071,-0.3319,0.2807,0.0551,0.1492,-0.149,0.1189,0.0474,-0.1429,-0.065,-0.3235,0.3645,-0.347,0.2909,-0.2512,0.1359,0.0322,0.2596,0.2987,0.2909,-0.1365,-0.7225,-0.7222,-0.7222,0.0926,0.0569,-0.1255,-0.1363,0.4803,0.4341,0.3472,0.0557,0.1912,-0.1249,-0.2988,-0.3316,-0.1689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3_Tmean,-0.0351,0.4834,-0.3995,-0.178,0.2504,0.4724,-0.0434,-0.0851,0.4552,0.571,-0.3144,-0.4071,0.2857,0.4169,0.0504,-0.4517,0.49,-0.3906,0.3426,-0.2156,0.4784,-0.1496,0.3744,-0.2932,-0.0963,-0.1608,-0.2102,-0.29,-0.1291,0.1126,0.1084,0.1084,0.5818,0.6313,0.6711,0.5876,0.2222,0.2809,0.0358,0.2147,0.2248,-0.2133,-0.1957,-0.1951,0.0934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3_PPT,-0.2319,-0.5492,0.0603,0.076,-0.1293,-0.342,-0.3098,-0.2444,-0.1449,-0.6356,0.2103,0.9527,-0.2954,-0.545,0.0132,0.4256,-0.4948,0.3438,-0.2757,0.3724,-0.6027,0.5053,-0.5056,0.4836,0.076,0.2167,0.5988,0.6533,-0.0469,-0.2028,-0.2025,-0.2025,-0.3962,-0.3592,-0.5605,-0.5994,-0.0021,0.0819,-0.1431,0.192,0.1142,0.5662,-0.184,-0.1608,-0.1901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3_SM,-0.2761,-0.7005,0.1974,0.1672,-0.2404,-0.6975,-0.4633,-0.3821,-0.2992,-0.9541,0.408,0.802,-0.3847,-0.7696,-0.0541,0.5933,-0.7099,0.4488,-0.5974,0.5,-0.8782,0.58,-0.7541,0.5804,0.1591,0.442,0.6875,0.7745,-0.0248,-0.4798,-0.4773,-0.4773,-0.534,-0.5589,-0.8204,-0.8452,0.0058,0.0532,0.0627,0.0867,0.0387,0.372,-0.1542,-0.1254,-0.2435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3_GDD,-0.0709,0.4675,-0.5146,-0.0746,0.2977,0.4214,0.0988,-0.0834,0.4795,0.5712,-0.3375,-0.3941,0.3594,0.477,0.0953,-0.4965,0.455,-0.4484,0.3318,-0.21,0.4734,-0.1703,0.4072,-0.2974,-0.0059,-0.1375,-0.1902,-0.2855,-0.1572,0.0787,0.0745,0.0745,0.5145,0.5603,0.6302,0.5812,0.2892,0.3393,0.0492,0.1816,0.209,-0.265,-0.1472,-0.1583,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3_FDD,0.1403,0.0107,0.1926,-0.0288,-0.1362,0.0686,0.1455,0.2317,-0.2344,-0.0315,0.0017,0.0537,-0.1053,0.0006,-0.0014,0.0375,0.0071,0.1216,0.0665,-0.0355,0.0216,-0.0707,0.0293,0.0214,-0.0826,-0.0921,-0.1281,-0.1173,0.2542,0.2602,0.2673,0.2673,-0.0651,-0.0693,-0.0586,-0.0598,-0.2081,-0.2607,-0.0477,-0.1227,-0.1105,0.1648,0.1382,0.1147,-0.0488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3_VPD,0.2247,0.7097,-0.2167,-0.2027,0.2311,0.7149,0.4224,0.3576,0.3385,0.9643,-0.4084,-0.7855,0.3998,0.7726,0.0837,-0.6495,0.7468,-0.494,0.6187,-0.5147,0.915,-0.5583,0.7685,-0.5844,-0.1868,-0.4416,-0.6703,-0.7674,-0.0014,0.4852,0.4819,0.4819,0.6165,0.6495,0.903,0.9064,0.0273,-0.001,-0.0335,-0.0104,0.0451,-0.3424,0.1053,0.0723,0.1691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3_VPD_max,0.1873,0.6043,-0.2115,-0.2278,0.2231,0.7582,0.4,0.3616,0.3484,0.9712,-0.3992,-0.6582,0.3898,0.7349,0.0915,-0.5948,0.7073,-0.4746,0.6644,-0.5049,0.8692,-0.501,0.7538,-0.5388,-0.2165,-0.4686,-0.63,-0.7123,-0.0205,0.517,0.5136,0.5136,0.5569,0.6189,0.8501,0.8601,0.0103,0.0024,-0.1461,0.0653,0.09,-0.1769,0.0764,0.0416,0.1128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3_NDVI,-0.2341,0.055,-0.2041,-0.1445,0.6097,-0.0437,0.13,-0.3451,0.8584,-0.104,0.6998,0.0979,0.4669,0.0111,0.4628,-0.0644,0.0071,-0.1995,-0.1042,0.4147,-0.143,0.5729,-0.0656,0.2472,-0.1015,0.025,0.1141,0.101,-0.1131,-0.2934,-0.2948,-0.2948,0.1688,0.1648,0.0367,0.03,0.6933,0.6392,0.1649,0.5575,0.6202,0.0572,-0.6249,-0.5237,-0.2227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3_NDVI_max,-0.1425,0.1848,-0.1708,-0.2589,0.6199,0.0282,0.1976,-0.291,0.8483,-0.0111,0.7488,0.023,0.5399,0.078,0.5543,-0.1047,0.1276,-0.253,-0.0425,0.3276,-0.0477,0.4607,-0.0022,0.1788,-0.2195,-0.1031,-0.0279,-0.0398,-0.1073,-0.2055,-0.2072,-0.2072,0.2933,0.2815,0.1561,0.1258,0.6614,0.5938,0.2477,0.5172,0.6232,0.0781,-0.5065,-0.4485,-0.1932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3_NDWI,-0.2641,0.033,-0.2317,-0.0893,0.6071,-0.0338,0.0985,-0.38,0.8157,-0.1122,0.6352,0.0888,0.4433,0.0138,0.4056,-0.0438,-0.0148,-0.2051,-0.1011,0.4025,-0.1429,0.5237,-0.0605,0.2231,-0.0463,0.0634,0.1441,0.1318,-0.0899,-0.3194,-0.321,-0.321,0.135,0.1379,0.0214,0.0247,0.7017,0.6576,0.1373,0.4719,0.632,0.0271,-0.5797,-0.5953,-0.2216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3_NIRv,-0.2,0.1275,-0.2362,-0.185,0.6507,0.0177,0.1594,-0.3361,0.9057,-0.0369,0.6602,0.0513,0.5062,0.0652,0.4775,-0.1005,0.0809,-0.2502,-0.0499,0.3684,-0.0794,0.5106,-0.0159,0.1894,-0.1415,-0.0319,0.0491,0.0344,-0.1097,-0.2524,-0.2543,-0.2543,0.2404,0.2405,0.1147,0.0938,0.7067,0.6502,0.1893,0.5368,0.634,0.0608,-0.6049,-0.5345,-0.2185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3_EVI,-0.1947,0.0454,-0.3433,-0.059,0.2852,-0.1417,-0.2197,-0.5051,0.3937,-0.1443,0.1417,0.0396,0.2667,-0.0163,0.1543,-0.0682,-0.0388,-0.2246,-0.2193,0.1481,-0.2159,0.1911,-0.1361,0.0356,0.0124,0.1354,0.2144,0.1965,-0.19,-0.4313,-0.4344,-0.4344,0.1952,0.1829,0.0334,0.002,0.4363,0.4608,0.2725,0.2295,0.2899,-0.1113,-0.2699,-0.2588,-0.2237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3_EVI_max,-0.1968,0.1254,-0.4036,-0.0321,0.2626,-0.1065,-0.156,-0.4607,0.3867,-0.1019,0.1051,-0.0254,0.2991,0.0287,0.1761,-0.1248,0.01,-0.2599,-0.1782,0.1079,-0.1596,0.1566,-0.1002,0.0199,0.036,0.1095,0.1644,0.1355,-0.1974,-0.357,-0.3608,-0.3609,0.2435,0.2338,0.0941,0.0466,0.4298,0.4678,0.2991,0.2243,0.2802,-0.1692,-0.2294,-0.2097,-0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4_Tmean,-0.1534,0.2182,-0.3458,0.212,0.1158,0.3031,0.019,0.054,0.2787,0.5161,-0.3449,-0.4011,0.3424,0.5642,-0.1641,-0.5449,0.2316,-0.3505,0.1927,-0.2606,0.4076,-0.2409,0.5103,-0.2989,0.2797,0.1225,-0.0073,-0.1226,-0.1321,0.0205,0.0165,0.0165,0.1893,0.2107,0.3965,0.5664,0.141,0.1765,-0.1995,0.0972,0.0752,-0.3982,-0.0125,-0.0407,-0.1404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4_PPT,-0.1101,-0.5238,0.1889,0.1517,-0.1573,-0.2802,-0.2107,-0.2711,-0.2838,-0.5684,0.1937,0.498,-0.5245,-0.8068,-0.1575,0.9862,-0.5052,0.3309,-0.2291,0.236,-0.5493,0.2636,-0.6759,0.2943,0.125,0.0766,0.2873,0.5245,0.0345,-0.1116,-0.1101,-0.11,-0.4864,-0.4196,-0.5613,-0.7271,-0.1205,-0.115,-0.2,-0.032,-0.0438,0.4352,-0.0159,0.0433,0.4565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4_SM,-0.1981,-0.611,0.1958,0.1702,-0.1969,-0.5225,-0.3004,-0.3326,-0.3224,-0.7635,0.2824,0.6355,-0.5927,-0.9646,-0.1136,0.8652,-0.6237,0.4334,-0.4242,0.422,-0.7265,0.4553,-0.8522,0.4797,0.1519,0.2352,0.4591,0.642,-0.0055,-0.2522,-0.2497,-0.2497,-0.4895,-0.4559,-0.6666,-0.8682,-0.0605,-0.0253,-0.0643,-0.021,-0.0449,0.3988,-0.0763,-0.0115,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4_GDD,-0.3289,-0.2254,-0.152,0.2718,-0.0821,-0.2932,-0.2271,-0.1689,-0.0434,-0.2065,0.0489,0.0658,0.0362,-0.0982,-0.4288,0.0417,-0.2852,-0.0321,-0.3506,0.0712,-0.2844,0.1104,-0.1661,0.1213,0.306,0.3985,0.3712,0.3522,-0.0601,-0.4124,-0.4154,-0.4154,-0.1986,-0.2418,-0.2379,-0.1403,0.125,0.1969,-0.0312,0.0638,-0.0547,-0.1221,0.0144,0.0132,-0.1256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
